,search_term,title,link
0,rolling_stock,Non-opposition to a notified concentration (Case M.9911 — Voith/PCSH/TSA) (Text with EEA relevance) 2021/C 24/03,https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:52021M9911
1,rolling_stock,Prior notification of a concentration (Case M.9911 — Voith/PCSH/TSA) Candidate case for simplified procedure (Text with EEA relevance) 2020/C 362/05,https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:52020M9911
2,rolling_stock,Non-opposition to a notified concentration (Case M.9614 – OBB-TS/LTE) (Text with EEA relevance) 2020/C 138/01,https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:52020M9614(01)
3,rolling_stock,Prior notification of a concentration (Case M.9614 – ÖBB-Technische Services-Gesellschaft mbH/LTE Logistik- und Transport-GmbH) Candidate case for simplified procedure (Text with EEA relevance) 2020/C 102/08,https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:52020M9614
4,rolling_stock,"European Parliament legislative resolution of 25 November 2014 on the draft Council decision on the approval, on behalf of the European Union, of the Protocol to the Convention on International Interests in Mobile Equipment on Matters specific to Railway Rolling Stock, adopted in Luxembourg on 23 February 2007 (15113/2013 — C8-0004/2014 — 2013/0184(NLE))",https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:52014AP0054
5,rolling_stock,2014/897/EU: Commission Recommendation of 5 December 2014 on matters related to the placing in service and use of structural subsystems and vehicles under Directives 2008/57/EC and 2004/49/EC of the European Parliament and of the Council Text with EEA relevance,https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32014H0897
6,rolling_stock,"2014/888/EU: Council Decision of 4 December 2014 on the approval, on behalf of the European Union, of the Protocol to the Convention on International Interests in Mobile Equipment on Matters Specific to Railway Rolling Stock, adopted in Luxembourg on 23 February 2007",https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32014D0888
7,rolling_stock,"Proposal for a COUNCIL DECISION on the approval, on behalf of the European Union, of the Luxembourg Protocol to the Convention on International Interests in Mobile Equipment on Matters specific to Railway Rolling Stock, adopted in Luxembourg on 23 February 2007",https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:52013PC0349
8,rolling_stock,The corrigendum does not concern the search language used.,https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32014H0897R(01)
9,rolling_stock,Written question E-004934/13 Aldo Patriciello (PPE) to the Commission. State aid for rolling stock and freight train operators,https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:92013E004934
10,rolling_stock,Written question E-004075/13 Gerben-Jan Gerbrandy (ALDE) to the Commission. Certification standards for trains using European railways,https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:92013E004075
11,rolling_stock,Written question P-002744/13 Toine Manders (ALDE) to the Commission. European noise standards for rail transport,https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:92013E002744
12,rolling_stock,Written question E-010976/12 Marielle de Sarnez (ALDE) to the Commission. Encouraging the use of wooden sleepers in railway lines,https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:92012E010976
13,rolling_stock,Written question E-006249/12 Alexander Mirsky (S&D) to the Commission. Funding of Latvian projects,https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:92012E006249
14,rolling_stock,Written question P-005702/12 Peter Simon (S&D) to the Commission. Measures to reduce noise from freight traffic,https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:92012E005702
15,rolling_stock,Written question E-000470/12 Michael Cramer (Verts/ALE) to the Commission. Investment in protection against rail noise,https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:92012E000470
16,rolling_stock,The corrigendum does not concern the search language used.,https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32008D0232R(04)
17,rolling_stock,Written question E-010233/11 Michail Tremopoulos (Verts/ALE) to the Commission. Looting of public railway equipment in Greece,https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:92011E010233
18,rolling_stock,Written question E-3996/09 by Daniel Caspary (PPE) to the Commission. Access to the Japanese market in the field of rail equipment and use of the operational safety clause,https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:92009E003996
19,rolling_stock,Written question P-6328/09 by Brian Simpson (S&D) to the Commission. Proposed tax on rolling stock in France,https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:92009E006328
20,rolling_stock,Written question E-5382/09 by Gianluca Susta (S&D) to the Commission. Cuneo-Nice railway line,https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:92009E005382
21,rolling_stock,QUESTION No 33 (H-0207/95) by Alexander LANGER to the Commission. Italian railway carriages containing asbestos in Italy and Albania,https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:91995H000207
0,rail_network,Regulation (EU) 2020/2222 of the European Parliament and of the Council of 23 December 2020 on certain aspects of railway safety and connectivity with regard to the cross-border infrastructure linking the Union and the United Kingdom through the Channel Fixed Link (Text with EEA relevance),https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32020R2222
1,rail_network,Directive (EU) 2016/797 of the European Parliament and of the Council of 11 May 2016 on the interoperability of the rail system within the European Union (Text with EEA relevance),https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32016L0797
2,rail_network,Regulation (EU) No 913/2010 of the European Parliament and of the Council of 22 September 2010 concerning a European rail network for competitive freight Text with EEA relevance,https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32010R0913
3,rail_network,Directive 2007/59/EC of the European Parliament and of the Council of 23 October 2007 on the certification of train drivers operating locomotives and trains on the railway system in the Community,https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32007L0059
4,rail_network,Case C-500/20: Request for a preliminary ruling from the Oberster Gerichtshof (Austria) lodged on 6 October 2020 — ÖBB-Infrastruktur Aktiengesellschaft v Lokomotion Gesellschaft für Schienentraktion mbH,https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62020CN0500
5,rail_network,Case T-814/17: Judgment of the General Court of 18 November 2020 — Lietuvos geležinkeliai v Commission (Competition — Abuse of a dominant position — Rail freight market — Decision finding an infringement of Article 102 TFEU — Access by third-party undertakings to infrastructure managed by Lithuania’s national railway company — Removal of a section of railway track — Concept of ‘abuse’ — Actual or likely exclusion of a competitor — Calculation of the amount of the fine — 2006 Guidelines on the method for setting fines — Remedies — Proportionality — Unlimited jurisdiction),https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62017TA0814
