,search_term,title,link,dates,categories,linked_docs
0,rolling_stock,Non-opposition to a notified concentration (Case M.9911 — Voith/PCSH/TSA) (Text with EEA relevance) 2021/C 24/03,https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:52021M9911,"Date of document:
19/11/2020","EUROVOC descriptor:
mechanical engineering
machinery
agricultural machinery
merger control
rolling stock
electric machinery
motor vehicle
economic concentration
vehicle parts
Subject matter:
Competition
Concentrations between undertakings
Directory code:
08.40.00.00 Competition policy / Concentrations","Legal basis:
32004R0139 - A06P1PTB)
Link
Select all documents based on this document
Link
Select all legislative procedures based on this document
Link
Select all documents mentioning this document
Link
Display the Official Journal containing the document
Related document(s):
32020M9911 Relation
52020M9911 Relation"
1,rolling_stock,Prior notification of a concentration (Case M.9911 — Voith/PCSH/TSA) Candidate case for simplified procedure (Text with EEA relevance) 2020/C 362/05,https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:52020M9911,"Date of document:
28/10/2020; Date of publication","EUROVOC descriptor:
mechanical engineering
machinery
agricultural machinery
merger control
rolling stock
electric machinery
motor vehicle
economic concentration
vehicle parts
Subject matter:
Competition
Concentrations between undertakings
Directory code:
08.40.00.00 Competition policy / Concentrations","Legal basis:
32004R0139 - A04
Link
Select all documents based on this document
Link
Select all legislative procedures based on this document
Link
Select all documents mentioning this document
Instruments cited:
52013XC1214(02)
Link
Display the Official Journal containing the document
Related document(s):
32020M9911 Relation
52021M9911 Relation
52021M9911"
2,rolling_stock,Non-opposition to a notified concentration (Case M.9614 – OBB-TS/LTE) (Text with EEA relevance) 2020/C 138/01,https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:52020M9614(01),"Date of document:
14/04/2020","EUROVOC descriptor:
logistics
merger control
rolling stock
provision of services
carriage of goods
economic concentration
maintenance
Subject matter:
Competition
Concentrations between undertakings
Directory code:
08.40.00.00 Competition policy / Concentrations","Legal basis:
32004R0139 - A06P1PTB)
Link
Select all documents based on this document
Link
Select all legislative procedures based on this document
Link
Select all documents mentioning this document
Link
Display the Official Journal containing the document
Related document(s):
32020M9614 Relation
52020M9614 Relation"
3,rolling_stock,Prior notification of a concentration (Case M.9614 – ÖBB-Technische Services-Gesellschaft mbH/LTE Logistik- und Transport-GmbH) Candidate case for simplified procedure (Text with EEA relevance) 2020/C 102/08,https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:52020M9614,"Date of document:
30/03/2020; Date of publication","EUROVOC descriptor:
logistics
merger control
rolling stock
provision of services
carriage of goods
economic concentration
maintenance
Subject matter:
Concentrations between undertakings
Competition
Directory code:
08.40.00.00 Competition policy / Concentrations","Legal basis:
32004R0139 - A04
Link
Select all documents based on this document
Link
Select all legislative procedures based on this document
Link
Select all documents mentioning this document
Instruments cited:
52013XC1214(02)
Link
Display the Official Journal containing the document
Related document(s):
32020M9614 Relation
52020M9614(01) Relation
52020M9614(01)"
4,rolling_stock,"European Parliament legislative resolution of 25 November 2014 on the draft Council decision on the approval, on behalf of the European Union, of the Protocol to the Convention on International Interests in Mobile Equipment on Matters specific to Railway Rolling Stock, adopted in Luxembourg on 23 February 2007 (15113/2013 — C8-0004/2014 — 2013/0184(NLE))",https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:52014AP0054,"Date of document:
25/11/2014; Date of vote
Date of vote:
25/11/2014","EUROVOC descriptor:
rolling stock
protocol to an agreement
ratification of an agreement
transport regulations
international convention
consent procedure
Subject matter:
External relations
Transport
Directory code:
11.30.50.00 External relations / Multilateral relations / Multilateral transport cooperation","Treaty:
Treaty on the Functioning of the European Union
Legal basis:
12016E081 - P2
12016E218 - P6L2PTA)PTV)
22009A1216(01)
Link
Select all documents based on this document
Link
Select all legislative procedures based on this document
Link
Select all documents mentioning this document
Earlier related instruments:
52013PC0349
Link
Display the Official Journal containing the document"
5,rolling_stock,2014/897/EU: Commission Recommendation of 5 December 2014 on matters related to the placing in service and use of structural subsystems and vehicles under Directives 2008/57/EC and 2004/49/EC of the European Parliament and of the Council Text with EEA relevance,https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32014H0897,"Date of document:
05/12/2014","EUROVOC descriptor:
rolling stock
rail network
European standard
harmonisation of standards
vehicle on rails
safety standard
technical standard
Subject matter:
Transport
Directory code:
07.20.40.10 Transport policy / Inland transport / Structural harmonisation / Technical and safety conditions","Treaty:
Treaty on the Functioning of the European Union
Legal basis:
12012E292
Link
Select all documents based on this document
Link
Select all legislative procedures based on this document
Link
Select all documents mentioning this document
Amendment to:
Relation
All
Repeal
Act
All
32011H0217
Comment Subdivision concerned
Repeal 32011H0217
Amended by:
Relation
All
Corrected by
Act
All
32014H0897R(01)
Comment Subdivision concerned
Corrected by 32014H0897R(01) (ES)
Instruments cited:
31998L0034
32001L0014
32004L0049
32008L0057
32009R0352
32012R1078
32013R0402
Link
Display the Official Journal containing the document"
6,rolling_stock,"2014/888/EU: Council Decision of 4 December 2014 on the approval, on behalf of the European Union, of the Protocol to the Convention on International Interests in Mobile Equipment on Matters Specific to Railway Rolling Stock, adopted in Luxembourg on 23 February 2007",https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32014D0888,"Date of document:
04/12/2014
Date of effect:
04/12/2014; Entry into force Date of document See Art 4
Date of end of validity:
No end date","EUROVOC descriptor:
guarantee
rolling stock
protocol to an agreement
ratification of an agreement
international convention
Subject matter:
External relations
Transport
Directory code:
11.30.50.00 External relations / Multilateral relations / Multilateral transport cooperation","Treaty:
Treaty on the Functioning of the European Union
Legal basis:
12012E081 - P2
12012E218 - P6PTA)
Proposal:
52013PC0349
Link
Select all documents based on this document
Link
Select all implementing acts based on this document
Link
Select all delegated acts based on this document
Link
Select all legislative procedures based on this document
Link
Select all documents mentioning this document
Instruments cited:
32000R1346
32001R0044
32004R0881
32008L0057
32008R0593
32009D0940
32012R1215
Link
Display the Official Journal containing the document"
7,rolling_stock,"Proposal for a COUNCIL DECISION on the approval, on behalf of the European Union, of the Luxembourg Protocol to the Convention on International Interests in Mobile Equipment on Matters specific to Railway Rolling Stock, adopted in Luxembourg on 23 February 2007",https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:52013PC0349,"Date of document:
11/06/2013
Date of dispatch:
11/06/2013; Forwarded to the Council
Date of dispatch:
11/06/2013; Forwarded to the Parliament
Date of end of validity:
04/12/2014; Adopted by 32014D0888","EUROVOC descriptor:
rolling stock
proposal (EU)
protocol to an agreement
transport regulations
Subject matter:
Transport
Directory code:
07.20.30.00 Transport policy / Inland transport / Market operation","Treaty:
Treaty on the Functioning of the European Union
Legal basis:
12012E081 - P2
12012E218 - P6PTA)
Adopted act:
32014D0888
Link
Select all documents based on this document
Link
Select all legislative procedures based on this document
Link
Select all documents mentioning this document
Subsequent related instruments:
EP Opinion 52014AP0054 Assent"
8,rolling_stock,The corrigendum does not concern the search language used.,https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32014H0897R(01),"Date of document:
30/10/2015; Date of publication","EUROVOC descriptor:
rolling stock
rail network
European standard
harmonisation of standards
vehicle on rails
safety standard
technical standard","Link
Select all documents based on this document
Link
Select all legislative procedures based on this document
Link
Select all documents mentioning this document
Amendment to:
Relation
All
Corrigendum to
Act
All
32014H0897
Comment Subdivision concerned
Corrigendum to 32014H0897 (ES)
Link
Display the Official Journal containing the document"
9,rolling_stock,Written question E-004934/13 Aldo Patriciello (PPE) to the Commission. State aid for rolling stock and freight train operators,https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:92013E004934,"Date of document:
06/05/2013; Date of transmission
Date of dispatch:
06/05/2013
Date of reply:
12/07/2013; Written answer","EUROVOC descriptor:
rolling stock
carriage of passengers
transport company
aid to undertakings
State aid
Subject matter:
State aids
Transport
Directory code:
07.20.10.00 Transport policy / Inland transport / Competition rules
08.60.00.00 Competition policy / State aids and other subsidies","Link
Select all documents based on this document
Link
Select all legislative procedures based on this document
Link
Select all documents mentioning this document
Link
Display the Official Journal containing the document"
